City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
68,Lagoa,PT,39.05,-27.9833,59.74,73,100,26.08,overcast clouds
69,Vanavara,RU,60.34,102.2797,19.9,97,100,2.59,light snow
70,Lakeside,US,30.13,-81.7682,57.34,92,100,9.22,overcast clouds
71,Jamestown,US,42.097,-79.2353,37.71,72,100,11.01,overcast clouds
72,Asau,RO,46.4333,26.4,25.72,74,100,5.32,overcast clouds
73,Russell,US,32.3502,-85.1999,49.28,87,100,0.0,overcast clouds
74,Caxito,AO,-8.5785,13.6643,77.05,73,85,7.14,overcast clouds
75,Savalou,BJ,7.9281,1.9756,85.98,16,87,3.38,overcast clouds
76,Khilok,RU,51.3674,110.4676,-9.92,98,32,2.1,scattered clouds
77,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,83,3.0,broken clouds
78,Miri,MY,4.4148,114.0089,76.15,94,40,5.75,moderate rain
79,Ukiah,US,39.1502,-123.2078,56.1,96,100,0.0,overcast clouds
80,Tiksi,RU,71.6872,128.8694,-10.19,95,99,6.44,overcast clouds
81,Kavieng,PG,-2.5744,150.7967,82.13,77,87,10.45,overcast clouds
82,Kismayo,SO,-0.3582,42.5454,79.3,85,95,15.97,overcast clouds
83,Saint Marys,US,30.7305,-81.5465,55.51,93,100,10.36,overcast clouds
84,Aykhal,RU,66.0,111.5,-15.57,88,100,8.86,overcast clouds
85,Georgetown,MY,5.4112,100.3354,79.9,92,20,0.0,few clouds
86,Cherskiy,RU,68.75,161.3,-1.19,72,0,2.62,clear sky
87,Dingle,PH,10.9995,122.6711,74.98,93,88,6.33,overcast clouds
88,Eenhana,NA,-17.4667,16.3333,68.68,74,99,10.27,light rain
89,Ilulissat,GL,69.2167,-51.1,-7.89,74,1,4.68,clear sky
90,Mogadishu,SO,2.0371,45.3438,78.73,84,26,17.43,scattered clouds
91,Pangnirtung,CA,66.1451,-65.7125,8.6,66,40,4.61,scattered clouds
92,Belyy Yar,RU,53.6039,91.3903,10.29,77,0,4.47,clear sky
93,Bilibino,RU,68.0546,166.4372,6.4,69,0,4.79,clear sky
94,Iquique,CL,-20.2208,-70.1431,75.24,66,1,10.94,clear sky
95,Holme,DK,56.1138,10.1725,44.19,91,46,15.23,scattered clouds
96,Amga,RU,60.8953,131.9608,-14.48,97,100,1.05,overcast clouds
97,Mecca,SA,21.4267,39.8261,77.45,66,19,13.22,few clouds
98,Adrar,MR,20.5022,-10.0711,72.03,16,0,11.3,clear sky
99,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,49,20,6.91,few clouds
100,Sri Aman,MY,1.2376,111.4621,77.09,94,100,0.0,overcast clouds
101,Redmond,US,47.674,-122.1215,23.7,76,100,1.99,overcast clouds
102,Santa Maria,BR,-29.6842,-53.8069,87.1,45,20,12.66,few clouds
103,Northam,GB,51.0333,-4.2167,50.25,98,99,11.18,overcast clouds
104,Port-Gentil,GA,-0.7193,8.7815,82.36,83,40,9.22,scattered clouds
105,Harper,LR,4.375,-7.7169,81.0,74,33,8.77,scattered clouds
106,Avarua,CK,-21.2078,-159.775,78.85,89,40,8.05,scattered clouds
107,Yaan,NG,7.3833,8.5667,82.4,19,61,5.17,broken clouds
108,Praya,CV,14.9215,-23.5087,79.34,57,20,20.71,few clouds
109,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,64,40,10.36,scattered clouds
110,Shingu,JP,33.7333,135.9833,36.14,69,27,16.53,scattered clouds
111,Narsaq,GL,60.9167,-46.05,8.19,64,0,8.7,clear sky
112,Devonport,AU,-41.1667,146.35,52.02,80,8,5.39,clear sky
113,Klaksvik,FO,62.2266,-6.589,34.72,58,100,23.24,overcast clouds
114,Svetlogorsk,BY,52.6333,29.7333,33.39,100,100,5.44,overcast clouds
115,Faya,SA,18.3851,42.4509,57.31,63,2,3.4,clear sky
116,Kodiak,US,57.79,-152.4072,35.19,98,100,41.11,snow
117,Chambishi,ZM,-12.6325,28.0537,62.01,98,100,3.74,light rain
118,Erdenet,MN,49.0333,104.0833,-0.96,96,37,4.52,scattered clouds
119,Altamira,BR,-3.2033,-52.2064,77.09,94,100,5.75,heavy intensity rain
120,San Cristobal,VE,7.7669,-72.225,77.18,48,16,6.96,few clouds
121,Bridlington,GB,54.0831,-0.1919,44.89,96,100,3.0,overcast clouds
122,Asfi,MA,32.2994,-9.2372,65.08,80,8,12.77,clear sky
123,Buraydah,SA,26.326,43.975,66.65,33,100,7.92,overcast clouds
124,Nabire,ID,-3.3667,135.4833,77.63,87,99,2.26,overcast clouds
125,Qaqortoq,GL,60.7167,-46.0333,10.38,65,0,8.19,clear sky
126,Nanortalik,GL,60.1432,-45.2371,22.15,62,0,5.14,clear sky
127,Dikson,RU,73.5069,80.5464,-7.56,95,100,8.57,overcast clouds
128,Aksu,CN,41.1231,80.2644,21.02,51,28,0.47,scattered clouds
129,Yurty,RU,56.0498,97.6348,11.95,79,75,11.05,broken clouds
130,Sola,VU,-13.8833,167.55,83.12,71,71,13.0,broken clouds
131,Pedernales,DO,18.0384,-71.744,83.7,56,0,4.63,clear sky
132,Warmbad,NA,-28.45,18.7333,89.74,21,4,17.54,clear sky
133,Ribeira Grande,PT,38.5167,-28.7,63.0,63,20,24.16,few clouds
134,Neryungri,RU,56.6709,124.6491,-33.77,99,52,1.77,broken clouds
135,Broome,US,42.2506,-75.833,34.02,83,100,9.22,snow
136,Maniitsoq,GL,65.4167,-52.9,17.33,67,16,4.72,few clouds
137,Codrington,AU,-38.2667,141.9667,55.85,96,2,3.94,clear sky
138,Waddan,LY,29.1614,16.139,59.59,53,32,7.43,scattered clouds
139,Abu Dhabi,AE,24.4667,54.3667,73.42,58,0,3.44,clear sky
140,Pasco,US,28.292,-82.4165,69.96,86,98,3.02,overcast clouds
141,Bilma,NE,18.6853,12.9164,64.33,31,41,11.18,scattered clouds
142,Rawah,IQ,34.4816,41.9093,55.96,66,77,7.25,broken clouds
143,Westport,US,41.1415,-73.3579,46.89,77,100,13.0,overcast clouds
144,Wonopringgo,ID,-6.9833,109.6167,76.1,92,100,4.59,overcast clouds
145,Sambava,MG,-14.2667,50.1667,78.03,89,98,2.26,moderate rain
146,Jiuquan,CN,39.7432,98.5174,17.64,65,0,4.05,clear sky
147,Marystown,CA,47.1666,-55.1483,33.87,69,51,12.53,broken clouds
148,Bredasdorp,ZA,-34.5322,20.0403,68.29,74,22,8.12,few clouds
149,Tuatapere,NZ,-46.1333,167.6833,52.39,94,62,1.59,broken clouds
150,Balykshi,KZ,47.0667,51.8667,24.8,80,1,13.42,mist
151,Luderitz,NA,-26.6481,15.1594,67.21,85,1,13.13,clear sky
152,East London,ZA,-33.0153,27.9116,76.14,73,0,13.8,clear sky
153,Haines Junction,CA,60.7522,-137.5108,-27.45,75,100,1.14,overcast clouds
154,Hailar,CN,49.2,119.7,-30.77,98,10,1.63,clear sky
155,Neuquen,AR,-38.9516,-68.0591,89.49,20,0,9.22,clear sky
156,Lasa,IT,46.6166,10.7002,32.02,74,31,4.61,scattered clouds
157,Yumen,CN,40.2833,97.2,16.45,60,2,3.58,clear sky
158,Zhenlai,CN,45.8495,123.2973,0.99,64,91,15.84,overcast clouds
159,Khatanga,RU,71.9667,102.5,-23.94,91,22,3.22,few clouds
160,Aklavik,CA,68.2191,-135.0107,3.2,78,100,12.66,light snow
161,Poum,NC,-20.2333,164.0167,79.99,78,10,10.92,clear sky
162,Washington,US,47.5001,-120.5015,5.32,69,80,1.16,broken clouds
163,Hollins,US,37.3413,-79.9431,39.88,95,100,11.5,mist
164,Mahebourg,MU,-20.4081,57.7,76.24,78,20,3.44,few clouds
165,Paralimni,CY,35.0375,33.9833,62.15,69,0,4.0,clear sky
166,Labuhan,ID,-6.8844,112.2051,78.57,83,100,11.77,light rain
167,Teknaf,BD,20.8624,92.3058,64.71,78,55,7.58,broken clouds
168,Kupino,RU,54.3663,77.2981,-21.73,100,50,5.08,scattered clouds
169,Makakilo City,US,21.3469,-158.0858,70.45,82,40,0.0,light rain
170,Yatou,CN,37.15,122.3833,22.19,83,100,21.03,light snow
171,Bluff,NZ,-46.6,168.3333,56.8,90,98,4.43,overcast clouds
172,Torre Del Greco,IT,40.7839,14.3708,57.76,86,75,3.44,broken clouds
173,Vuktyl,RU,63.8567,57.3094,14.86,94,100,9.04,light snow
174,Lompoc,US,34.6391,-120.4579,64.78,68,100,1.99,overcast clouds
175,Umm Lajj,SA,25.0213,37.2685,75.06,60,100,10.11,overcast clouds
