City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
533,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Tropic Hotel
538,Tamboril,DO,84.97,few clouds,19.4854,-70.611,Chronos Aparta Hotel
552,Mana,GF,81.39,broken clouds,5.6592,-53.7767,Le Samana
561,Tomatlan,MX,88.95,few clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
582,Nacala,MZ,75.63,overcast clouds,-14.5428,40.6728,Indico Apart Hotel 2
583,Santo Domingo,DO,85.64,broken clouds,18.5001,-69.9886,Hotel Villa Campo
585,Necochea,AR,89.83,broken clouds,-38.5473,-58.7368,Cabañas Río Quequén
594,Puerto Escondido,MX,83.23,few clouds,15.85,-97.0667,Hotel Barlovento
601,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Deyna's City Inn
605,Namatanai,PG,78.53,light rain,-3.6667,152.4333,Namatanai Hotel
606,Honiara,SB,78.13,overcast clouds,-9.4333,159.95,King Solomon Hotel
613,Tancanhuitz,MX,76.19,few clouds,21.6,-98.9667,Hotel Xolol
632,Valparaiso,CL,82.63,clear sky,-33.0393,-71.6273,Ibis Hotel
636,Tawau,MY,77.56,scattered clouds,4.2498,117.8871,Eden boutique
638,Daloa,CI,82.26,few clouds,6.8774,-6.4502,Hôtel Matin Pêcheur
639,Omboue,GA,78.64,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
641,Beruwala,LK,75.47,overcast clouds,6.4788,79.9828,Villa@113
653,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Coco Villa
656,Ta Khmau,KH,77.05,few clouds,11.4833,104.95,Mangala Village
659,Daru,PG,79.92,overcast clouds,-9.0763,143.2092,Kuki
665,Bajil,YE,78.89,clear sky,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
669,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
671,Karratha,AU,77.38,light rain,-20.7377,116.8463,Karratha International Hotel
673,Grand-Bourg,GP,84.15,few clouds,15.8835,-61.3148,Coco Beach Resort
676,Moron,AR,90.0,few clouds,-34.6534,-58.6198,La Esquina
677,Ambulu,ID,77.61,light rain,-8.345,113.6058,Hotel Ambulu
679,Axim,GH,80.53,broken clouds,4.8699,-2.2405,Axim Beach Hotel
680,Benguela,AO,75.24,broken clouds,-12.5763,13.4055,Hotel Moibela
692,Palmas,BR,78.67,broken clouds,-10.2128,-48.3603,Hotel Triângulo Mineiro
